,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43
45,1,0,2,0,0,2,0,1,1,2,2,0,0,0,1,0,0,2,2,0,0,3,4,3,2,2,1,0,0,1,0,0,0,1,0,0,1,2,1,4,3,0
395,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
97,3,2,3,0,2,2,2,2,3,2,3,0,2,2,2,2,0,2,2,0,0,2,3,1,2,2,2,0,0,2,2,3,3,3,3,0,3,3,1,2,2,3
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0
365,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,2,2,0,1,2,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,2,0,1,0,0,2,4,2,0,0,2,1
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,2,0,1,3,2,0,0,2,2,0,3,0,2,0,0,1,0,0,1,2,1
71,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
152,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,2,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,1,0,1,2,0,1,0,1,0,0,2,2
61,1,2,1,1,2,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,2
48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
